"Latitude","Longitude","FIPS_block","FIPS_county","FIPS_state","STname","API_status"
33.5048491,-84.396633,"130630405182005","13063","13","GA","OK"
36.0424624,-84.1830008,"470010213011007","47001","47","TN","OK"
36.0424624,-84.1830008,"470010213011007","47001","47","TN","OK"
33.158642,-95.117408,"484499502002013","48449","48","TX","OK"
43.2411101,-108.6920442,"560139402011390","56013","56","WY","OK"
33.944248,-117.3712357,"060650312002006","06065","06","CA","OK"
33.8908815,-118.0115964,"060375039012008","06037","06","CA","OK"
29.9832504,-90.1043726,"220710046003005","22071","22","LA","OK"
33.7977518,-118.2988624,"060372944213001","06037","06","CA","OK"
31.1276849,-84.1518466,"132050902001079","13205","13","GA","OK"
32.2645875,-110.9102348,"040190028023000","04019","04","AZ","OK"
34.0983569,-118.0436199,"060374321012000","06037","06","CA","OK"
29.6132036,-82.3418222,"120011108001032","12001","12","FL","OK"
26.7589739,-80.115604,"120990019081000","12099","12","FL","OK"
40.4408215,-79.8766838,"420035610001000","42003","42","PA","OK"
40.4408215,-79.8766838,"420035610001000","42003","42","PA","OK"
33.799298,-117.9064696,"060590875031003","06059","06","CA","OK"
30.2282673,-93.2088,"220190001001069","22019","22","LA","OK"
32.282438,-89.908449,"281210209001050","28121","28","MS","OK"
40.0389174,-78.127795,"420579602004065","42057","42","PA","OK"
37.0566746,-80.7710181,"511552102011018","51155","51","VA","OK"
33.9424332,-118.234848,"060372430002000","06037","06","CA","OK"
25.9071927,-80.3119346,"120860093051012","12086","12","FL","OK"
30.0172133,-90.0513133,"220710025023015","22071","22","LA","OK"
41.4966474,-74.0112789,"360710005013008","36071","36","NY","OK"
32.866432,-96.8753414,"481130072011001","48113","48","TX","OK"
40.8856809,-74.5589446,"340270450003018","34027","34","NJ","OK"
40.55612,-74.2970397,"340230030022002","34023","34","NJ","OK"
40.4436261,-79.9596871,"420039822001005","42003","42","PA","OK"
29.7751825,-95.3102505,"482012116002050","48201","48","TX","OK"
