age,gender,race,city,state,county,year,fips
19,Male,African-American/Black,Orlando,FL,orange,2013,12095
19,Male,African-American/Black,Gary,IN,lake,2013,18089
19,Male,Hispanic/Latino,Poth,TX,wilson,2013,48493
19,Male,European-American/White,Dinwiddie,VA,dinwiddie,2013,51053
19,Male,African-American/Black,Long Beach,CA,los angeles,2013,6037
19,Male,European-American/White,Hayward,CA,alameda,2013,6001
19,Male,African-American/Black,Houston,TX,harris,2013,48201
19,Female,African-American/Black,St. Petersburg,FL,pinellas,2013,12103
19,Male,African-American/Black,Hanahan,SC,berkeley,2013,45015
19,Male,European-American/White,Pleasantville,NJ,atlantic,2013,34001
19,Male,African-American/Black,Fort Wayne,IN,allen,2013,18003
19,Female,African-American/Black,Carnesville,GA,franklin,2013,13119
19,Male,African-American/Black,Perris,CA,riverside,2013,6065
19,Female,European-American/White,Brenham,TX,washington,2013,48477
19,Male,Native American/Alaskan,Utica,NY,oneida,2013,36065
19,Male,African-American/Black,San Antonio,TX,bexar,2013,48029
19,Male,Hispanic/Latino,Pleasant Grove,TX,rusk,2013,48401
19,Male,Hispanic/Latino,Conroe,TX,montgomery,2013,48339
19,Male,European-American/White,Bel Air,MD,harford,2013,24025
19,Male,European-American/White,Parkland,WA,pierce,2013,53053
19,Female,African-American/Black,Center,TX,shelby,2013,48419
19,Female,European-American/White,Chico,CA,butte,2013,6007
19,Male,European-American/White,Big Spring,TX,howard,2013,48227
19,Male,African-American/Black,Asheville,NC,buncombe,2013,37021
19,Male,African-American/Black,New Rochelle,NY,westchester,2013,36119
19,Male,European-American/White,Willard,OH,huron,2013,39077
19,Male,European-American/White,Ames,IA,story,2013,19169
19,Male,European-American/White,Jasper,TX,jasper,2013,48241
19,Male,African-American/Black,Long Beach,CA,los angeles,2013,6037
19,Male,European-American/White,Lynchburg,VA,lynchburg city,2013,51680
19,Male,African-American/Black,Washington,DC,the district,2013,11001
19,Male,European-American/White,Torrance,CA,los angeles,2013,6037
19,Male,African-American/Black,Lawrence,MA,essex,2014,25009
