GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,ADK5E001,ADK5E002,ADK5E003,ADK5E004,ADK5E005,ADK5E006,ADK5E007,ADK5E008,ADK5E009,ADK5E010,ADK5E011,ADK5E012,ADK5E013,ADK5E014,ADK5E015,ADK5E016,ADK5E017,ADK5E018,ADK5E019,ADK5E020,ADK5E021,NAME_M,ADK5M001,ADK5M002,ADK5M003,ADK5M004,ADK5M005,ADK5M006,ADK5M007,ADK5M008,ADK5M009,ADK5M010,ADK5M011,ADK5M012,ADK5M013,ADK5M014,ADK5M015,ADK5M016,ADK5M017,ADK5M018,ADK5M019,ADK5M020,ADK5M021
"G4201090","2011-2015",,,"Pennsylvania","42","Snyder County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Snyder County, Pennsylvania",40046,39224,38228,381,30,270,6,0,309,0,309,822,541,24,0,4,0,189,64,50,14,"Snyder County, Pennsylvania",0,0,21,85,22,29,8,21,92,21,92,0,113,28,21,9,21,89,49,44,21
"G4201110","2011-2015",,,"Pennsylvania","42","Somerset County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Somerset County, Pennsylvania",76617,75624,72758,1965,59,233,4,18,587,19,568,993,546,58,6,0,0,297,86,66,20,"Somerset County, Pennsylvania",0,0,17,104,34,73,8,15,126,21,121,0,89,32,10,23,23,66,58,50,28
"G4201130","2011-2015",,,"Pennsylvania","42","Sullivan County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sullivan County, Pennsylvania",6381,6269,5968,151,16,31,31,8,64,0,64,112,73,6,0,0,0,25,8,0,8,"Sullivan County, Pennsylvania",0,0,11,94,18,22,44,11,51,14,51,0,29,14,14,14,14,32,10,14,10
"G4201150","2011-2015",,,"Pennsylvania","42","Susquehanna County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Susquehanna County, Pennsylvania",42369,41667,40911,228,78,117,0,12,321,2,319,702,553,3,2,0,17,116,11,0,11,"Susquehanna County, Pennsylvania",0,0,11,39,38,21,21,13,57,3,57,0,60,5,5,21,20,55,12,21,12
"G4201170","2011-2015",,,"Pennsylvania","42","Tioga County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tioga County, Pennsylvania",42284,41733,40665,291,47,223,16,9,482,21,461,551,399,13,4,2,0,22,111,45,66,"Tioga County, Pennsylvania",0,0,29,104,23,23,18,12,104,30,99,0,72,19,5,3,21,16,66,33,66
"G4201190","2011-2015",,,"Pennsylvania","42","Union County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Union County, Pennsylvania",44958,42432,38055,2934,141,562,12,31,697,52,645,2526,1463,232,54,0,0,619,158,103,55,"Union County, Pennsylvania",0,0,49,128,49,102,22,34,173,54,164,0,184,98,55,21,21,137,93,62,50
"G4201210","2011-2015",,,"Pennsylvania","42","Venango County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venango County, Pennsylvania",53906,53344,51809,423,28,209,2,21,852,12,840,562,383,56,7,0,0,57,59,44,15,"Venango County, Pennsylvania",0,0,27,101,17,35,3,26,103,10,103,0,78,36,11,23,23,51,46,43,14
"G4201230","2011-2015",,,"Pennsylvania","42","Warren County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Warren County, Pennsylvania",40962,40579,39800,186,58,200,0,0,335,2,333,383,283,16,0,0,0,36,48,21,27,"Warren County, Pennsylvania",0,0,3,44,28,30,21,21,65,3,66,0,47,21,21,21,21,25,29,20,24
"G4201250","2011-2015",,,"Pennsylvania","42","Washington County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington County, Pennsylvania",208226,205291,193432,5996,104,1649,25,243,3842,126,3716,2935,2210,141,48,128,0,228,180,7,173,"Washington County, Pennsylvania",0,0,88,374,72,134,26,123,417,72,403,0,261,70,53,186,23,130,109,10,107
"G4201270","2011-2015",,,"Pennsylvania","42","Wayne County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wayne County, Pennsylvania",51642,49568,47068,1655,89,254,9,12,481,27,454,2074,1430,157,19,24,0,294,150,97,53,"Wayne County, Pennsylvania",0,0,6,107,38,56,18,13,110,34,105,0,126,63,24,30,23,89,63,55,38
